total_hits	messages_with_hits	thread_id	title	hits_sl	hits_sensiblaw	hits_itir	hits_tircorder	hits_tirc
721	82	4d535d3f33f54b1040ab38ec67f8f550a0f69dce	SENSIBLAW	0	544	117	57	3
637	49	74f6d0e08de82556df95c6ab1edb51557fede4fa	Taxonomising legal wrongs	23	291	23	171	129
546	51	f8170d36e0b2c28b2bb0366a7dc35a433e26ca00	Feature timeline visualization	19	182	119	206	20
308	22	df662e5df0a444fa97e57053dd7c1cec130f9aeb	Expand explanation request	19	107	9	90	83
194	10	331a7d1304f329259315649e7a9d729a83b51daf	Data management ontology topology	2	116	2	26	48
191	14	32c691e2032f3ed787499254720081202500e94b	Aptos cryptocurrency overview	47	59	0	0	85
184	16	21f55daa80206517e38f8c0fa56ee9bb2db8a9a0	Actor table design	0	82	58	42	2
163	15	cfacd6488919ade801d8137a9d05573ec31f9345	Summary of key details	0	93	47	16	7
149	34	15567e0112f953179e2ef6571de023b415d68bbb	Research paper development	0	13	16	120	0
141	23	83ee7436aa909dd31a14a147f10bb78cd52b6f55	Category coverage review	0	110	0	31	0
139	18	ba292493c290052375cfff4b27784b16f2720d8e	Gary's YouTube strategy	2	136	0	1	0
121	8	1b024ef9c81a61ed6a48230101b1d6732fbacdc5	Reframing scholarship research	0	39	40	42	0
89	14	e40d17da77188861d419379aca12d1a3cdadc337	Compare 3-6-9 with TL	0	43	3	43	0
89	9	3d542c88a8fa3b203f106a9c401b2e69cddb9333	House v The King principles	0	39	5	45	0
78	11	7b2a461b475dd7c005f573e53ece42bc5bfd7831	GitHub Large File Error	0	78	0	0	0
77	3	2830e4da6d4f7d7ce572a72044770872de858ce1	Timeline stream roadmap issue	0	30	5	42	0
68	7	39d217c741f2ac8c137743fa6982a25535287f30	PDF to TiRCorder integration	0	22	6	40	0
67	6	0c7367b6e8723c46bd476557cd3015d896ae6905	SL Formalism Interpretation and Projection	0	65	0	2	0
65	10	bfdf04733b345a28fffe6c6f73c6bb4b1bc61cdc	Design spec creation	0	36	12	17	0
63	14	a890929ced6b41f559536f34402245e98bbf92a1	Debates on causality	3	29	0	24	7
61	12	86195fb8089dc252a27c2091f2e45be1e162c3b1	Legal practice highlights	0	57	0	4	0
61	10	a441a4528016bb96db032e95f8e9af400ae6a7b6	Postgres vs alternatives for Rust	0	58	0	3	0
56	4	b85301dfa1862896503efbd2208111ea7e6fec67	Contributors needed for TiRCorder	0	0	25	31	0
41	12	41abba5bf982234f7cff45828ba7739f42bb9993	CI workflow optimization	0	41	0	0	0
36	3	bc17259adfc7f170669b3964271fc267744479e5	Key points summary	4	14	0	8	10
35	9	69de53c0a5805a2983387e112481f10f670e6f0d	Legal ethics and systems	0	35	0	0	0
32	7	51fad9f77e1a19eb9e3aaaf6ff0a2b62eb5e3261	Oracle WHS compliance tool	0	32	0	0	0
28	6	7cb7f5b8137259e70edf1095ba13da5dc364aaa8	Ternary packing optimization	0	6	12	10	0
27	16	84452a9b212c6f3c9554c6a6f835555c41f728ff	Print principles list	0	25	0	2	0
25	4	b93a8ed8b9f65181020dce6b624e21fd1ca3b87d	Open-source contract analysis	0	25	0	0	0
24	11	afd30375061a60eb1a9dbbf4ac49d9ae4d4403f3	Connect Codex to CDT	0	24	0	0	0
21	5	e0643c1b681ee7124ccd3c0897ca199c3d677596	TiRCorder goal summary	0	3	0	18	0
21	4	3137df9c152ef6ff85c05cc3469684c86cbcfd54	Coles Palantir usage query	0	11	0	10	0
20	7	df5aeb8fb883bf08d093c98649e6badbc90de4cb	Balanced ternary systems	0	20	0	0	0
17	6	863a5b9fad411141443ebf43f8f08d2e65c2a332	Cannabis reforms Australia 2026	0	8	0	9	0
16	3	e09f3adc1a0f5e017b8f2b50b6f1d52077c9f443	Table of contents processing	0	16	0	0	0
15	4	8a39bb0fa9196987f4ffb4b59c94c4bb2d760a42	Bitcoin value vs price drop	0	6	0	9	0
11	7	bbdbde584d5161fb6c78791a951741b0232909ce	Key torts in Australia	0	7	0	4	0
11	3	1f8fdcd45bb9f0dd79f123fddad60d0af55bb963	Boundary layer in law	0	11	0	0	0
11	1	1c251232988eb6f87844756e7bb9ebb0af5db571	Markdown table conversion	0	10	0	1	0
10	4	5af91f2fbeac4be27d7dc5e478007f2bd33b0297	Reply drafting advice	0	2	6	1	1
9	3	0965beffd5b60a21bd65c75f9e87f51c482d3922	Scan Windows SMB Servers 	9	0	0	0	0
9	2	8c3f61d02ce0092ad4994ed1bff945d8a2460311	GitHub activity summary	0	0	0	9	0
8	1	ee94c23ad5c50e9f25e58b6c7f14ea927562d042	Troubleshoot frozen SSH	8	0	0	0	0
8	1	6516d5174954dc5b11b1d8cc9e8b0d3b7d777b39	Watertight mesh repair	8	0	0	0	0
8	1	2933aaa349dc7453b21c2fce4a96bbb66b375748	Video summary attempt	8	0	0	0	0
8	1	11a134a7c680f9cd5e4fe9d1be468f8cd21c23fd	seameinit	8	0	0	0	0
7	3	ccef6ed5da9ffc84294bf9daf2e9376540ecc3c4	Contractive Operator Formalism	0	7	0	0	0
7	3	0f802f91f4ce2ef965aaa0116449adfdfd78e64f	State tensor formalisation	3	1	0	3	0
6	2	fca2e0faa024508040aaa6fb42e3e31c92f062bc	Docker container usage	0	2	0	2	2
6	2	f8b4e6f34f9b12a4ed425c03fe662e96461f3c3c	Boot issue troubleshooting Arch	6	0	0	0	0
6	2	c1ba9d91028a896d0741f772dbc6219ba3625559	dashifine	0	3	0	3	0
6	2	a21dbf09e425e54099ec16271a24d08ff58a9cc5	Ambiguous Genitalia Discussion	0	0	2	4	0
6	1	b98073506045a2381d73b019f467517473e011b5	Python Live Graphing	6	0	0	0	0
6	1	9e0d72573b5739693a5736065f0acc9e08b1f9a2	DASHI learner context	0	6	0	0	0
6	1	063c6482eafbca9f50c817f85bf20e67b7cd8df6	July 2015 News Summary	6	0	0	0	0
5	4	f3c303045d891c2dee464dfdcab5818de9fe751e	Installing youtube-upload-git	0	0	0	5	0
5	2	5a24aa8a5424f08731292357688239c83e19d8f9	Tetralemma concept origin	0	3	0	2	0
4	2	b864ef60d8d73be54602b3cf956d1625954e1c6e	Virtual environment error fix	0	0	0	4	0
4	2	162aa6e417d50915a89f98eb399112a559346a14	Taylor Swift politics	0	2	0	2	0
4	2	02e168b09a6322f450cb16fc15465153ba97c693	Multiband Compressor Optimization	4	0	0	0	0
4	1	5c03dcdf18a7af5bad6123a051b258c428ea7bab	Summarize streamlit removal	0	4	0	0	0
3	3	dc99580124e4360a20c465b3327b7c2e6fb07f05	Police welfare check	0	0	2	1	0
3	2	c353081e2299960d6cfc1f18b1f3f143585841a2	Summarize video and GitHub	0	1	1	1	0
2	2	2ca7be4930d7327c8124ed90d1901b51484eb5a0	RX-580 GPU hang regression	0	0	0	2	0
2	2	2554f877c59d20b293a41b5cf5edb9f0fe92e153	Git pull divergence fix	0	2	0	0	0
2	1	f3cd36382404f52e581a21666a941665083eab00	Huawei patent explanation	0	1	0	1	0
2	1	e1596eb412ca1888af77c57da9b7198aa05daeee	iSCSI share slow mount	0	1	0	1	0
2	1	ad5ab9175ef66ba82b27f5277bca459b26c1e38b	Tidal simulation explanation	0	1	0	1	0
2	1	8b85482c9b8af9c92598be1b0554f276e24c63c6	Thermal siphon cities	0	1	0	1	0
2	1	8886eb1ff12a1f2ef0c5af0d7aca57911d2a5b22	Analyze FAQyMe Gene	0	1	0	1	0
2	1	3dac3ba5d6ce9bbfd4805a212428c8e454a93f34	Idempotence and normalisation	0	1	0	1	0
1	1	f50cb6e70984f31e055aaad876a484341e853b1e	Materialism vs Dialectics	0	0	1	0	0
1	1	f4c463941d986532579284e61c138ddab176bf7a	DASHI learner context5 -- trading	0	0	0	1	0
1	1	ead11bb6fbd0ff9ba4b18323c0874c4624949574	Uncle's Conviction Inquiry	0	1	0	0	0
1	1	d4ca8726b7d8eb71c6a97359a9210c0e28c7cdd1	Chrome DevTools setup	0	1	0	0	0
1	1	d49c58bdd33b6853d892bc9e5edd28c9b87d8a41	WhisperX minimum word confidence	1	0	0	0	0
1	1	bdab15ced02c693ad38c49066c36fc815c418a53	StatiBaker Proposal	0	0	1	0	0
1	1	bc2e2e380f8327e2c6bee932d2a0714a0dab3878	OCR extraction and categorization	0	1	0	0	0
1	1	9dbab241108d895764acda647de87cddb5088703	Timeline prototype description	0	0	1	0	0
1	1	8c951be621ba2c8aed130232f63b33b9242aa24b	SSH from Ubuntu laptop	0	0	1	0	0
1	1	8387dec2b47cdeb189e18921b16b7bb4293f822b	Graph modulos 1-11	1	0	0	0	0
1	1	5036b14a2cd1549af85601038e1bd3da79c4697f	Codex Configuration Summary	1	0	0	0	0
1	1	441003e0c54bd7b1cb81f9b24ee8a6697bbb25f4	Why use Flask	0	1	0	0	0
1	1	37e4e58f015eb83d6fd71a6085fdbb246bc9e352	Test computational efficiency	0	1	0	0	0
